domain,phylum,class,order,family,genus,species,L,R,S,kit_id
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,Unknown genus4,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus112,Unknown species12,0,0,0.001329,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus128,Unknown species8,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus136,Unknown species4,0,0,0.000743,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus139,Unknown species2,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus217,Unknown species4,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus348,Unknown species4,0,0,0.000391,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus459,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus473,Unknown species1,0,0,0.006343,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus534,Unknown species8,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus581,Unknown species6,0,0,0.001935,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus600,Unknown species3,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus600,Unknown species8,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus613,Unknown species2,0,0,0.0004,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus624,Unknown species9,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus632,Unknown species6,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus650,Unknown species2,0,0,0.00109,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus671,Unknown species4,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus681,Unknown species1,0,0,0.001278,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus720,Unknown species5,0,0,0.000294,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus744,Unknown species6,0,0,0.000384,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus75,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus772,Unknown species2,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus17,Unknown species5,0,0,0.000248,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus73,Unknown species12,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus73,Unknown species8,0,0.00172,0.002354,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus9,Unknown species3,0,0,0,28
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unknown genus127,Unknown species7,0,0,0,28
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unknown genus74,Unknown species4,0,0,0,28
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown species85,0,0,0,28
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown species87,0,0,0,28
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Unknown species97,0,0,0,28
Bacteria,Acidobacteria,Chloracidobacteria,24-נוב,Unknown family,Unknown genus35,Unknown species2,0,0,0,28
Bacteria,Acidobacteria,Chloracidobacteria,PK29,Unknown family,Unknown genus38,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,Unknown genus36,Unknown species7,0,0,0.000287,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus139,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus20,Unknown species8,0,0.001032,0,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus205,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus219,Unknown species3,0,0,0.00049,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus37,Unknown species14,0,0,0,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus37,Unknown species19,0,0,0.000498,28
Bacteria,Acidobacteria,Chloracidobacteria,RB41,Unknown family,Unknown genus7,Unknown species3,0,0,0.000081,28
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Unknown genus100,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Unknown genus173,Unknown species2,0,0,0,28
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Unknown family,Unknown genus36,Unknown species3,0,0,0.005202,28
Bacteria,Acidobacteria,Sva0725,Sva0725,Unknown family,Unknown genus169,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Sva0725,Sva0725,Unknown family,Unknown genus17,Unknown species1,0,0,0.005532,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,AKIW874,Unknown genus1,Unknown species2,0,0,0,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,Unknown genus40,Unknown species4,0,0,0,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,Unknown species35,0,0,0.00134,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Unknown family,Unknown genus291,Unknown species2,0,0,0,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Unknown family,Unknown genus32,Unknown species2,0,0,0,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Unknown family,Unknown genus323,Unknown species1,0,0,0.000271,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Unknown family,Unknown genus329,Unknown species2,0,0,0,28
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Unknown family,Unknown genus76,Unknown species1,0,0,0.000576,28
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Unknown species196,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Unknown species207,0,0,0.000384,28
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Unknown species220,0,0,0.000231,28
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia,Unknown species136,0,0,0.000229,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinospicaceae,Actinospica,Actinospica acidiphila,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinospicaceae,Actinospica,Actinospica robiniae,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinospicaceae,Actinospica,Unknown species10,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinospicaceae,Actinospica,Unknown species14,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea,Lentzea albidocapillata,0,0,0.002174,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea,Lentzea violacea,0,0,0.001856,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix,Unknown species15,0,0,0.001214,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Unknown species12,0,0,0.001682,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Unknown species2,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Unknown species21,0,0,0.003978,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Unknown species29,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Unknown species3,0,0,0.000627,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Unknown species9,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas aerilata,0,0,0.003623,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas cellasea,0,0,0.002086,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas chitinilytica,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas composti,0,0,0.000132,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas fimi,0,0,0.008707,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas hominis,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas massiliensis,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas oligotrophica,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas uda,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas xylanilytica,0,0.005287,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1715,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1740,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1899,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium japonicum,0,0,0.005972,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species13,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species24,0,0,0.008495,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species3,0,0,0.00509,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species35,0,0,0.0006,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species36,0,0,0.000836,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species41,0,0,0.001047,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species43,0,0,0.008338,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species48,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Unknown species8,0,0,0.001498,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Blastococcus aggregatus,0,0,0.029296,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Blastococcus saxobsidens,0,0,0.002913,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Unknown species26,0,0,0.003706,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus arenarius,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus nigrescens,0,0,0.005307,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus,0,0,0.023986,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus saharensis,0,0,0.002167,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter,Modestobacter marinus,0,0,0.006502,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter,Janibacter limosus,0,0,0.000234,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter,Janibacter terrae,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,Unknown species29,0,0,0.001104,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Agromyces aurantiacus,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Agromyces mediolanus,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Agromyces ramosus,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Unknown species28,0,0.003353,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Unknown species35,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Unknown species4,0,0,0.002745,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Amnibacterium,Unknown species13,0,0,0.000597,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis,0.026896,0.000516,0.000513,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryobacterium,Unknown species12,0,0,0.012832,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryocola,Cryocola Unknown,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Unknown species6,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Curtobacterium flaccumfaciens,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Curtobacterium luteum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Gryllotalpicola,Gryllotalpicola daejeonensis,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,Lysinimonas soli,0,0,0.001597,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Unknown species151,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Unknown species6,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium chocolatum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium esteraromaticum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium foliorum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium lacticum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium oxydans,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium pumilum,0,0,0.000688,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium yannicii,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,Unknown species40,0,0,0.005082,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,Unknown species5,0,0,0.000942,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,Unknown species58,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,Unknown species60,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,Salinibacterium xinjiangense,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter aurescens,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter crystallopoietes,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter defluvii,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis,0,0,0.013746,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter humicola,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter nitroguajacolicus,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter oryzae,0,0,0.008773,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter oxydans,0,0,0.002236,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter ramosus,0,0,0.005705,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sulfonivorans,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter ureafaciens,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unknown species167,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unknown species189,0,0,0.000103,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unknown species230,0,0,0.000784,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unknown species246,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unknown species313,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unknown species314,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Unknown species83,0.000001,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Unknown genus22,Unknown species2,0.00802,0.00187,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Microbispora,Microbispora rosea,0,0,0.001746,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus,0.002831,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia mucilaginosa,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,Actinoplanes brasiliensis,0,0,0.019619,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,Actinoplanes nipponensis,0,0,0.008857,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,Actinoplanes philippinensis,0,0,0.001502,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,Actinoplanes rectilineatus,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,Actinoplanes xinjiangensis,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,Unknown species24,0,0,0.002666,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,Unknown species4,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Asanoa,Asanoa iriomotensis,0,0,0.004575,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catellatospora,Catellatospora chokoriensis,0,0,0.002099,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes,Unknown species1,0,0,0.00067,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes,Unknown species12,0,0,0.001104,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes,Unknown species14,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes,Unknown species4,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes,Couchioplanes caeruleus,0,0,0.001221,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium,Unknown species1,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium,Dactylosporangium luteum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium,Dactylosporangium maewongense,0,0,0.004662,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Micromonospora aurantiaca,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Micromonospora carbonacea,0.084934,0,0.002816,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Micromonospora chokoriensis,0,0,0.005516,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Micromonospora echinospora,0,0,0.001461,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Micromonospora tulbaghiae,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Micromonospora wenchangensis,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Verrucosispora,Verrucosispora gifhornensis,0,0.023794,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Virgisporangium,Virgisporangium ochraceum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species110,0.009812,0.24074,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species145,0,0,0.001109,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species177,0.015668,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species21,0,0,0.001781,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species224,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species233,0,0,0.001112,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species243,0,0,0.003796,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species53,0,0,0.001111,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species56,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species70,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species75,0,0,0.000056,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species8,0,0.068543,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Unknown species88,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium aichiense,0,0,0.000986,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium asiaticum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium celatum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium fluoranthenivorans,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium frederiksbergense,0,0,0.001513,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium gastri,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium gilvum,0,0,0.000599,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium heidelbergense,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium kansasii,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium lentiflavum,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium llatzerense,0,0.023349,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium monacense,0,0,0.001297,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium moriokaense,0,0,0,28
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium mucogenicum,0,0,0,28
